Driver,LapTime,LapNumber,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus,Position,FreshTyre,IsAccurate,Time,Season,GrandPrix
VER,0 days 00:01:39.019000,1.0,SOFT,4.0,,,12,1.0,False,False,0 days 01:04:15.902000,2023,Bahrain
VER,0 days 00:01:37.974000,2.0,SOFT,5.0,,,12,1.0,False,True,0 days 01:05:53.876000,2023,Bahrain
VER,0 days 00:01:38.006000,3.0,SOFT,6.0,,,1,1.0,False,True,0 days 01:07:31.882000,2023,Bahrain
VER,0 days 00:01:37.976000,4.0,SOFT,7.0,,,1,1.0,False,True,0 days 01:09:09.858000,2023,Bahrain
VER,0 days 00:01:38.035000,5.0,SOFT,8.0,,,1,1.0,False,True,0 days 01:10:47.893000,2023,Bahrain
VER,0 days 00:01:37.986000,6.0,SOFT,9.0,,,1,1.0,False,True,0 days 01:12:25.879000,2023,Bahrain
VER,0 days 00:01:38.021000,7.0,SOFT,10.0,,,1,1.0,False,True,0 days 01:14:03.900000,2023,Bahrain
VER,0 days 00:01:38.154000,8.0,SOFT,11.0,,,1,1.0,False,True,0 days 01:15:42.054000,2023,Bahrain
VER,0 days 00:01:38.278000,9.0,SOFT,12.0,,,1,1.0,False,True,0 days 01:17:20.332000,2023,Bahrain
VER,0 days 00:01:38.369000,10.0,SOFT,13.0,,,1,1.0,False,True,0 days 01:18:58.701000,2023,Bahrain
VER,0 days 00:01:38.483000,11.0,SOFT,14.0,,,1,1.0,False,True,0 days 01:20:37.184000,2023,Bahrain
VER,0 days 00:01:38.591000,12.0,SOFT,15.0,,,1,1.0,False,True,0 days 01:22:15.775000,2023,Bahrain
VER,0 days 00:01:38.482000,13.0,SOFT,16.0,,,1,1.0,False,True,0 days 01:23:54.257000,2023,Bahrain
VER,0 days 00:01:41.295000,14.0,SOFT,17.0,0 days 01:25:33.830000,,1,1.0,False,False,0 days 01:25:35.552000,2023,Bahrain
VER,0 days 00:01:58.378000,15.0,SOFT,1.0,,0 days 01:25:58.127000,1,2.0,False,False,0 days 01:27:33.930000,2023,Bahrain
VER,0 days 00:01:37.801000,16.0,SOFT,2.0,,,1,2.0,False,True,0 days 01:29:11.731000,2023,Bahrain
VER,0 days 00:01:37.648000,17.0,SOFT,3.0,,,1,2.0,False,True,0 days 01:30:49.379000,2023,Bahrain
VER,0 days 00:01:37.614000,18.0,SOFT,4.0,,,1,1.0,False,True,0 days 01:32:26.993000,2023,Bahrain
VER,0 days 00:01:37.712000,19.0,SOFT,5.0,,,1,1.0,False,True,0 days 01:34:04.705000,2023,Bahrain
VER,0 days 00:01:37.788000,20.0,SOFT,6.0,,,1,1.0,False,True,0 days 01:35:42.493000,2023,Bahrain
VER,0 days 00:01:37.582000,21.0,SOFT,7.0,,,1,1.0,False,True,0 days 01:37:20.075000,2023,Bahrain
VER,0 days 00:01:37.651000,22.0,SOFT,8.0,,,1,1.0,False,True,0 days 01:38:57.726000,2023,Bahrain
VER,0 days 00:01:37.552000,23.0,SOFT,9.0,,,1,1.0,False,True,0 days 01:40:35.278000,2023,Bahrain
VER,0 days 00:01:37.387000,24.0,SOFT,10.0,,,1,1.0,False,True,0 days 01:42:12.665000,2023,Bahrain
VER,0 days 00:01:37.372000,25.0,SOFT,11.0,,,1,1.0,False,True,0 days 01:43:50.037000,2023,Bahrain
VER,0 days 00:01:37.682000,26.0,SOFT,12.0,,,1,1.0,False,True,0 days 01:45:27.719000,2023,Bahrain
VER,0 days 00:01:37.379000,27.0,SOFT,13.0,,,1,1.0,False,True,0 days 01:47:05.098000,2023,Bahrain
VER,0 days 00:01:37.651000,28.0,SOFT,14.0,,,1,1.0,False,True,0 days 01:48:42.749000,2023,Bahrain
VER,0 days 00:01:37.571000,29.0,SOFT,15.0,,,1,1.0,False,True,0 days 01:50:20.320000,2023,Bahrain
VER,0 days 00:01:37.549000,30.0,SOFT,16.0,,,1,1.0,False,True,0 days 01:51:57.869000,2023,Bahrain
VER,0 days 00:01:37.431000,31.0,SOFT,17.0,,,1,1.0,False,True,0 days 01:53:35.300000,2023,Bahrain
VER,0 days 00:01:37.691000,32.0,SOFT,18.0,,,1,1.0,False,True,0 days 01:55:12.991000,2023,Bahrain
VER,0 days 00:01:37.686000,33.0,SOFT,19.0,,,1,1.0,False,True,0 days 01:56:50.677000,2023,Bahrain
VER,0 days 00:01:37.839000,34.0,SOFT,20.0,,,1,1.0,False,True,0 days 01:58:28.516000,2023,Bahrain
VER,0 days 00:01:37.850000,35.0,SOFT,21.0,,,1,1.0,False,True,0 days 02:00:06.366000,2023,Bahrain
VER,0 days 00:01:40.964000,36.0,SOFT,22.0,0 days 02:01:45.619000,,1,1.0,False,False,0 days 02:01:47.330000,2023,Bahrain
VER,0 days 00:01:58.490000,37.0,HARD,1.0,,0 days 02:02:10.556000,1,1.0,True,False,0 days 02:03:45.820000,2023,Bahrain
VER,0 days 00:01:36.297000,38.0,HARD,2.0,,,1,1.0,True,True,0 days 02:05:22.117000,2023,Bahrain
VER,0 days 00:01:36.446000,39.0,HARD,3.0,,,1,1.0,True,True,0 days 02:06:58.563000,2023,Bahrain
VER,0 days 00:01:36.942000,40.0,HARD,4.0,,,1,1.0,True,True,0 days 02:08:35.505000,2023,Bahrain
VER,0 days 00:02:00.495000,41.0,HARD,5.0,,,126,1.0,True,False,0 days 02:10:36,2023,Bahrain
VER,0 days 00:01:44.824000,42.0,HARD,6.0,,,671,1.0,True,False,0 days 02:12:20.824000,2023,Bahrain
VER,0 days 00:01:36.890000,43.0,HARD,7.0,,,1,1.0,True,True,0 days 02:13:57.714000,2023,Bahrain
VER,0 days 00:01:36.236000,44.0,HARD,8.0,,,1,1.0,True,True,0 days 02:15:33.950000,2023,Bahrain
VER,0 days 00:01:37.015000,45.0,HARD,9.0,,,1,1.0,True,True,0 days 02:17:10.965000,2023,Bahrain
VER,0 days 00:01:36.701000,46.0,HARD,10.0,,,1,1.0,True,True,0 days 02:18:47.666000,2023,Bahrain
VER,0 days 00:01:37.009000,47.0,HARD,11.0,,,1,1.0,True,True,0 days 02:20:24.675000,2023,Bahrain
VER,0 days 00:01:36.918000,48.0,HARD,12.0,,,1,1.0,True,True,0 days 02:22:01.593000,2023,Bahrain
VER,0 days 00:01:36.962000,49.0,HARD,13.0,,,1,1.0,True,True,0 days 02:23:38.555000,2023,Bahrain
VER,0 days 00:01:37.250000,50.0,HARD,14.0,,,1,1.0,True,True,0 days 02:25:15.805000,2023,Bahrain
VER,0 days 00:01:37.427000,51.0,HARD,15.0,,,1,1.0,True,True,0 days 02:26:53.232000,2023,Bahrain
VER,0 days 00:01:36.919000,52.0,HARD,16.0,,,1,1.0,True,True,0 days 02:28:30.151000,2023,Bahrain
VER,0 days 00:01:36.890000,53.0,HARD,17.0,,,1,1.0,True,True,0 days 02:30:07.041000,2023,Bahrain
VER,0 days 00:01:36.678000,54.0,HARD,18.0,,,1,1.0,True,True,0 days 02:31:43.719000,2023,Bahrain
VER,0 days 00:01:36.322000,55.0,HARD,19.0,,,1,1.0,True,True,0 days 02:33:20.041000,2023,Bahrain
VER,0 days 00:01:37.205000,56.0,HARD,20.0,,,1,1.0,True,True,0 days 02:34:57.246000,2023,Bahrain
VER,0 days 00:01:36.373000,57.0,HARD,21.0,,,1,1.0,True,True,0 days 02:36:33.619000,2023,Bahrain
GAS,0 days 00:01:49.649000,1.0,SOFT,1.0,,,12,19.0,True,False,0 days 01:04:26.532000,2023,Bahrain
GAS,0 days 00:01:40.438000,2.0,SOFT,2.0,,,21,18.0,True,True,0 days 01:06:06.970000,2023,Bahrain
GAS,0 days 00:01:40.643000,3.0,SOFT,3.0,,,1,18.0,True,True,0 days 01:07:47.613000,2023,Bahrain
GAS,0 days 00:01:40.894000,4.0,SOFT,4.0,,,1,18.0,True,True,0 days 01:09:28.507000,2023,Bahrain
GAS,0 days 00:01:40.818000,5.0,SOFT,5.0,,,1,18.0,True,True,0 days 01:11:09.325000,2023,Bahrain
GAS,0 days 00:01:41.110000,6.0,SOFT,6.0,,,1,18.0,True,True,0 days 01:12:50.435000,2023,Bahrain
GAS,0 days 00:01:41.134000,7.0,SOFT,7.0,,,1,18.0,True,True,0 days 01:14:31.569000,2023,Bahrain
GAS,0 days 00:01:41.173000,8.0,SOFT,8.0,,,1,18.0,True,True,0 days 01:16:12.742000,2023,Bahrain
GAS,0 days 00:01:44.201000,9.0,SOFT,9.0,0 days 01:17:55.198000,,1,19.0,True,False,0 days 01:17:56.943000,2023,Bahrain
GAS,0 days 00:02:01.262000,10.0,HARD,1.0,,0 days 01:18:21.104000,1,20.0,True,False,0 days 01:19:58.205000,2023,Bahrain
GAS,0 days 00:01:38.762000,11.0,HARD,2.0,,,1,19.0,True,True,0 days 01:21:36.967000,2023,Bahrain
GAS,0 days 00:01:38.928000,12.0,HARD,3.0,,,1,17.0,True,True,0 days 01:23:15.895000,2023,Bahrain
GAS,0 days 00:01:39.349000,13.0,HARD,4.0,,,1,14.0,True,True,0 days 01:24:55.244000,2023,Bahrain
GAS,0 days 00:01:38.859000,14.0,HARD,5.0,,,1,14.0,True,True,0 days 01:26:34.103000,2023,Bahrain
GAS,0 days 00:01:38.985000,15.0,HARD,6.0,,,1,14.0,True,True,0 days 01:28:13.088000,2023,Bahrain
GAS,0 days 00:01:38.945000,16.0,HARD,7.0,,,1,12.0,True,True,0 days 01:29:52.033000,2023,Bahrain
GAS,0 days 00:01:39.011000,17.0,HARD,8.0,,,1,12.0,True,True,0 days 01:31:31.044000,2023,Bahrain
GAS,0 days 00:01:39.029000,18.0,HARD,9.0,,,1,12.0,True,True,0 days 01:33:10.073000,2023,Bahrain
GAS,0 days 00:01:39.066000,19.0,HARD,10.0,,,1,12.0,True,True,0 days 01:34:49.139000,2023,Bahrain
GAS,0 days 00:01:39.017000,20.0,HARD,11.0,,,1,12.0,True,True,0 days 01:36:28.156000,2023,Bahrain
GAS,0 days 00:01:39.327000,21.0,HARD,12.0,,,1,12.0,True,True,0 days 01:38:07.483000,2023,Bahrain
